t	1	2	jV0100	jL0300	
0.0429	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.043	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0431	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0432	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0433	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0434	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0435	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0436	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0437	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0438	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0439	0.637424	0.637424	-6.60986e-18	6.60986e-18	
0.044	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0441	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0442	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0443	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0444	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0445	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0446	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0447	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0448	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0449	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.045	-1.65875e-13	-1.65876e-13	-3.13953e-19	3.13953e-19	
0.0451	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0452	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0453	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0454	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0455	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0456	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0457	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0458	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0459	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.046	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0461	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0462	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0463	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0464	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0465	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0466	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0467	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0468	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0469	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.047	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0471	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0472	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0473	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0474	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0475	-1	-1	9.99013e-18	-9.99013e-18	
0.0476	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0477	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0478	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0479	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.048	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0481	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0482	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0483	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0484	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0485	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0486	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0487	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0488	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0489	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.049	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0491	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0492	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0493	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0494	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0495	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0496	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0497	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0498	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0499	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
0.05	2.54571e-13	2.54571e-13	3.13953e-19	-3.13953e-19	
0.0501	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0502	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0503	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0504	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0505	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0506	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0507	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0508	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0509	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.051	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0511	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0512	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0513	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0514	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0515	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0516	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0517	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0518	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0519	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.052	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0521	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0522	0.982287	0.982287	-9.75435e-18	9.75435e-18	
0.0523	0.992115	0.992115	-9.87201e-18	9.87201e-18	
0.0524	0.998027	0.998027	-9.95071e-18	9.95071e-18	
0.0525	1	1	-9.99013e-18	9.99013e-18	
0.0526	0.998027	0.998027	-9.99013e-18	9.99013e-18	
0.0527	0.992115	0.992115	-9.95071e-18	9.95071e-18	
0.0528	0.982287	0.982287	-9.87201e-18	9.87201e-18	
0.0529	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.053	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0531	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0532	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0533	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0534	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0535	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0536	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0537	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0538	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0539	0.637424	0.637424	-6.60986e-18	6.60986e-18	
0.054	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0541	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0542	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0543	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0544	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0545	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0546	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0547	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0548	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0549	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.055	-3.43266e-13	-3.43266e-13	-3.13953e-19	3.13953e-19	
0.0551	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0552	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0553	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0554	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0555	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0556	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0557	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0558	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0559	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.056	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0561	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0562	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0563	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0564	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0565	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0566	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0567	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0568	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0569	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.057	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0571	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0572	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0573	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0574	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0575	-1	-1	9.99013e-18	-9.99013e-18	
0.0576	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0577	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0578	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0579	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.058	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0581	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0582	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0583	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0584	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0585	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0586	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0587	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0588	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0589	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.059	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0591	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0592	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0593	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0594	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0595	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0596	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0597	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0598	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0599	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
0.06	4.31961e-13	4.31962e-13	3.13953e-19	-3.13953e-19	
0.0601	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0602	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0603	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0604	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0605	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0606	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0607	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0608	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0609	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.061	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0611	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0612	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0613	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0614	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0615	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0616	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0617	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0618	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0619	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.062	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0621	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0622	0.982287	0.982287	-9.75435e-18	9.75435e-18	
0.0623	0.992115	0.992115	-9.87201e-18	9.87201e-18	
0.0624	0.998027	0.998027	-9.95071e-18	9.95071e-18	
0.0625	1	1	-9.99013e-18	9.99013e-18	
0.0626	0.998027	0.998027	-9.99013e-18	9.99013e-18	
0.0627	0.992115	0.992115	-9.95071e-18	9.95071e-18	
0.0628	0.982287	0.982287	-9.87201e-18	9.87201e-18	
0.0629	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.063	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0631	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0632	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0633	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0634	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0635	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0636	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0637	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0638	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0639	0.637424	0.637424	-6.60986e-18	6.60986e-18	
0.064	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0641	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0642	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0643	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0644	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0645	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0646	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0647	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0648	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0649	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.065	-5.27762e-13	-5.27763e-13	-3.13953e-19	3.13953e-19	
0.0651	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0652	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0653	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0654	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0655	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0656	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0657	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0658	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0659	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.066	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0661	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0662	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0663	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0664	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0665	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0666	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0667	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0668	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0669	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.067	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0671	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0672	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0673	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0674	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0675	-1	-1	9.99013e-18	-9.99013e-18	
0.0676	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0677	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0678	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0679	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.068	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0681	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0682	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0683	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0684	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0685	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0686	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0687	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0688	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0689	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.069	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0691	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0692	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0693	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0694	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0695	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0696	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0697	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0698	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0699	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
0.07	6.16458e-13	6.16458e-13	3.13953e-19	-3.13953e-19	
0.0701	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0702	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0703	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0704	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0705	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0706	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0707	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0708	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0709	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.071	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0711	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0712	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0713	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0714	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0715	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0716	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0717	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0718	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0719	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.072	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0721	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0722	0.982287	0.982287	-9.75435e-18	9.75435e-18	
0.0723	0.992115	0.992115	-9.87201e-18	9.87201e-18	
0.0724	0.998027	0.998027	-9.95071e-18	9.95071e-18	
0.0725	1	1	-9.99013e-18	9.99013e-18	
0.0726	0.998027	0.998027	-9.99013e-18	9.99013e-18	
0.0727	0.992115	0.992115	-9.95071e-18	9.95071e-18	
0.0728	0.982287	0.982287	-9.87201e-18	9.87201e-18	
0.0729	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.073	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0731	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0732	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0733	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0734	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0735	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0736	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0737	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0738	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0739	0.637424	0.637424	-6.60986e-18	6.60986e-18	
0.074	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0741	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0742	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0743	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0744	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0745	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0746	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0747	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0748	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0749	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.075	-7.05153e-13	-7.05153e-13	-3.13953e-19	3.13953e-19	
0.0751	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0752	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0753	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0754	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0755	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0756	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0757	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0758	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0759	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.076	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0761	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0762	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0763	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0764	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0765	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0766	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0767	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0768	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0769	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.077	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0771	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0772	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0773	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0774	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0775	-1	-1	9.99013e-18	-9.99013e-18	
0.0776	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0777	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0778	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0779	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.078	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0781	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0782	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0783	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0784	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0785	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0786	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0787	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0788	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0789	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.079	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0791	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0792	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0793	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0794	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0795	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0796	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0797	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0798	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0799	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
0.08	7.93848e-13	7.93849e-13	3.13953e-19	-3.13953e-19	
0.0801	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0802	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0803	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0804	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0805	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0806	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0807	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0808	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0809	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.081	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0811	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0812	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0813	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0814	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0815	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0816	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0817	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0818	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0819	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.082	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0821	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0822	0.982287	0.982287	-9.75435e-18	9.75435e-18	
0.0823	0.992115	0.992115	-9.87201e-18	9.87201e-18	
0.0824	0.998027	0.998027	-9.95071e-18	9.95071e-18	
0.0825	1	1	-9.99013e-18	9.99013e-18	
0.0826	0.998027	0.998027	-9.99013e-18	9.99013e-18	
0.0827	0.992115	0.992115	-9.95071e-18	9.95071e-18	
0.0828	0.982287	0.982287	-9.87201e-18	9.87201e-18	
0.0829	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.083	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0831	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0832	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0833	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0834	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0835	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0836	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0837	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0838	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0839	0.637424	0.637424	-6.60986e-18	6.60986e-18	
