t	1	2	jL0100	jV0200	
0	0	-0	0	0	
1e-06	6.28319e-06	6.28319e-06	3.14159e-19	-3.14159e-19	
2e-06	1.25664e-05	1.25664e-05	9.42478e-19	-9.42478e-19	
3e-06	1.88496e-05	1.88496e-05	1.5708e-18	-1.5708e-18	
4e-06	2.51327e-05	2.51327e-05	2.19911e-18	-2.19911e-18	
5e-06	3.14159e-05	3.14159e-05	2.82743e-18	-2.82743e-18	
6e-06	3.76991e-05	3.76991e-05	3.45575e-18	-3.45575e-18	
7e-06	4.39823e-05	4.39823e-05	4.08407e-18	-4.08407e-18	
8e-06	5.02655e-05	5.02655e-05	4.71239e-18	-4.71239e-18	
9e-06	5.65487e-05	5.65487e-05	5.34071e-18	-5.34071e-18	
1e-05	6.28319e-05	6.28319e-05	5.96903e-18	-5.96903e-18	
1.1e-05	6.9115e-05	6.9115e-05	6.59734e-18	-6.59734e-18	
1.2e-05	7.53982e-05	7.53982e-05	7.22566e-18	-7.22566e-18	
1.3e-05	8.16814e-05	8.16814e-05	7.85398e-18	-7.85398e-18	
1.4e-05	8.79646e-05	8.79646e-05	8.4823e-18	-8.4823e-18	
1.5e-05	9.42478e-05	9.42478e-05	9.11062e-18	-9.11062e-18	
1.6e-05	0.000100531	0.000100531	9.73894e-18	-9.73894e-18	
1.7e-05	0.000106814	0.000106814	1.03673e-17	-1.03673e-17	
1.8e-05	0.000113097	0.000113097	1.09956e-17	-1.09956e-17	
1.9e-05	0.000119381	0.000119381	1.16239e-17	-1.16239e-17	
2e-05	0.000125664	0.000125664	1.22522e-17	-1.22522e-17	
2.1e-05	0.000131947	0.000131947	1.28805e-17	-1.28805e-17	
2.2e-05	0.00013823	0.00013823	1.35088e-17	-1.35088e-17	
2.3e-05	0.000144513	0.000144513	1.41372e-17	-1.41372e-17	
2.4e-05	0.000150796	0.000150796	1.47655e-17	-1.47655e-17	
2.5e-05	0.00015708	0.00015708	1.53938e-17	-1.53938e-17	
2.6e-05	0.000163363	0.000163363	1.60221e-17	-1.60221e-17	
2.7e-05	0.000169646	0.000169646	1.66504e-17	-1.66504e-17	
2.8e-05	0.000175929	0.000175929	1.72788e-17	-1.72788e-17	
2.9e-05	0.000182212	0.000182212	1.79071e-17	-1.79071e-17	
3e-05	0.000188496	0.000188496	1.85354e-17	-1.85354e-17	
3.1e-05	0.000194779	0.000194779	1.91637e-17	-1.91637e-17	
3.2e-05	0.000201062	0.000201062	1.9792e-17	-1.9792e-17	
3.3e-05	0.000207345	0.000207345	2.04204e-17	-2.04204e-17	
3.4e-05	0.000213628	0.000213628	2.10487e-17	-2.10487e-17	
3.5e-05	0.000219911	0.000219911	2.1677e-17	-2.1677e-17	
3.6e-05	0.000226195	0.000226195	2.23053e-17	-2.23053e-17	
3.7e-05	0.000232478	0.000232478	2.29336e-17	-2.29336e-17	
3.8e-05	0.000238761	0.000238761	2.35619e-17	-2.35619e-17	
3.9e-05	0.000245044	0.000245044	2.41903e-17	-2.41903e-17	
4e-05	0.000251327	0.000251327	2.48186e-17	-2.48186e-17	
4.1e-05	0.000257611	0.000257611	2.54469e-17	-2.54469e-17	
4.2e-05	0.000263894	0.000263894	2.60752e-17	-2.60752e-17	
4.3e-05	0.000270177	0.000270177	2.67035e-17	-2.67035e-17	
4.4e-05	0.00027646	0.00027646	2.73319e-17	-2.73319e-17	
4.5e-05	0.000282743	0.000282743	2.79602e-17	-2.79602e-17	
4.6e-05	0.000289027	0.000289027	2.85885e-17	-2.85885e-17	
4.7e-05	0.00029531	0.00029531	2.92168e-17	-2.92168e-17	
4.8e-05	0.000301593	0.000301593	2.98451e-17	-2.98451e-17	
4.9e-05	0.000307876	0.000307876	3.04734e-17	-3.04734e-17	
5e-05	0.000314159	0.000314159	3.11018e-17	-3.11018e-17	
5.1e-05	0.000320442	0.000320442	3.17301e-17	-3.17301e-17	
5.2e-05	0.000326726	0.000326726	3.23584e-17	-3.23584e-17	
5.3e-05	0.000333009	0.000333009	3.29867e-17	-3.29867e-17	
5.4e-05	0.000339292	0.000339292	3.3615e-17	-3.3615e-17	
5.5e-05	0.000345575	0.000345575	3.42434e-17	-3.42434e-17	
5.6e-05	0.000351858	0.000351858	3.48717e-17	-3.48717e-17	
5.7e-05	0.000358142	0.000358142	3.55e-17	-3.55e-17	
5.8e-05	0.000364425	0.000364425	3.61283e-17	-3.61283e-17	
5.9e-05	0.000370708	0.000370708	3.67566e-17	-3.67566e-17	
6e-05	0.000376991	0.000376991	3.7385e-17	-3.7385e-17	
6.1e-05	0.000383274	0.000383274	3.80133e-17	-3.80133e-17	
6.2e-05	0.000389557	0.000389557	3.86416e-17	-3.86416e-17	
6.3e-05	0.000395841	0.000395841	3.92699e-17	-3.92699e-17	
6.4e-05	0.000402124	0.000402124	3.98982e-17	-3.98982e-17	
6.5e-05	0.000408407	0.000408407	4.05265e-17	-4.05265e-17	
6.6e-05	0.00041469	0.00041469	4.11549e-17	-4.11549e-17	
6.7e-05	0.000420973	0.000420973	4.17832e-17	-4.17832e-17	
