t	1	2	jV0100	
0.128	0.720309	0.000719589	-0.721029	
0.129	0.724653	0.000723929	-0.725377	
0.13	0.728969	0.00072824	-0.729697	
0.131	0.733255	0.000732523	-0.733988	
0.132	0.737513	0.000736776	-0.73825	
0.133	0.741742	0.000741001	-0.742483	
0.134	0.745941	0.000745196	-0.746686	
0.135	0.750111	0.000749362	-0.75086	
0.136	0.754251	0.000753498	-0.755005	
0.137	0.758362	0.000757604	-0.75912	
0.138	0.762443	0.000761681	-0.763204	
0.139	0.766493	0.000765727	-0.767259	
0.14	0.770513	0.000769743	-0.771283	
0.141	0.774503	0.000773729	-0.775277	
0.142	0.778462	0.000777685	-0.77924	
0.143	0.782391	0.000781609	-0.783172	
0.144	0.786288	0.000785503	-0.787074	
0.145	0.790155	0.000789366	-0.790944	
0.146	0.79399	0.000793197	-0.794784	
0.147	0.797794	0.000796997	-0.798591	
0.148	0.801567	0.000800766	-0.802368	
0.149	0.805308	0.000804503	-0.806112	
0.15	0.809017	0.000808209	-0.809825	
0.151	0.812694	0.000811882	-0.813506	
0.152	0.816339	0.000815524	-0.817155	
0.153	0.819952	0.000819133	-0.820771	
0.154	0.823533	0.00082271	-0.824355	
0.155	0.827081	0.000826254	-0.827907	
0.156	0.830596	0.000829766	-0.831426	
0.157	0.834078	0.000833245	-0.834912	
0.158	0.837528	0.000836691	-0.838365	
0.159	0.840945	0.000840104	-0.841785	
0.16	0.844328	0.000843484	-0.845171	
0.161	0.847678	0.000846831	-0.848525	
0.162	0.850994	0.000850144	-0.851845	
0.163	0.854277	0.000853424	-0.855131	
0.164	0.857527	0.00085667	-0.858383	
0.165	0.860742	0.000859882	-0.861602	
0.166	0.863923	0.00086306	-0.864786	
0.167	0.867071	0.000866204	-0.867937	
0.168	0.870184	0.000869314	-0.871053	
0.169	0.873262	0.00087239	-0.874135	
0.17	0.876307	0.000875431	-0.877182	
0.171	0.879316	0.000878438	-0.880195	
0.172	0.882291	0.00088141	-0.883173	
0.173	0.885231	0.000884347	-0.886116	
0.174	0.888136	0.000887249	-0.889024	
0.175	0.891007	0.000890116	-0.891897	
0.176	0.893841	0.000892948	-0.894734	
0.177	0.896641	0.000895745	-0.897537	
0.178	0.899405	0.000898507	-0.900304	
0.179	0.902134	0.000901233	-0.903035	
0.18	0.904827	0.000903923	-0.905731	
0.181	0.907484	0.000906578	-0.908391	
0.182	0.910106	0.000909197	-0.911015	
0.183	0.912692	0.00091178	-0.913603	
0.184	0.915241	0.000914327	-0.916155	
0.185	0.917755	0.000916838	-0.918671	
0.186	0.920232	0.000919313	-0.921151	
0.187	0.922673	0.000921751	-0.923594	
0.188	0.925077	0.000924153	-0.926001	
0.189	0.927445	0.000926519	-0.928372	
0.19	0.929776	0.000928848	-0.930705	
0.191	0.932071	0.00093114	-0.933002	
0.192	0.934329	0.000933396	-0.935262	
0.193	0.93655	0.000935614	-0.937486	
0.194	0.938734	0.000937796	-0.939672	
0.195	0.940881	0.000939941	-0.941821	
0.196	0.942991	0.000942048	-0.943933	
0.197	0.945063	0.000944119	-0.946007	
0.198	0.947098	0.000946152	-0.948044	
0.199	0.949096	0.000948148	-0.950044	
0.2	0.951057	0.000950106	-0.952007	
0.201	0.952979	0.000952027	-0.953931	
0.202	0.954865	0.000953911	-0.955818	
0.203	0.956712	0.000955756	-0.957668	
0.204	0.958522	0.000957564	-0.959479	
0.205	0.960294	0.000959334	-0.961253	
0.206	0.962028	0.000961067	-0.962989	
0.207	0.963724	0.000962761	-0.964686	
0.208	0.965382	0.000964417	-0.966346	
0.209	0.967001	0.000966035	-0.967968	
0.21	0.968583	0.000967616	-0.969551	
0.211	0.970127	0.000969157	-0.971096	
0.212	0.971632	0.000970661	-0.972602	
0.213	0.973099	0.000972126	-0.974071	
0.214	0.974527	0.000973553	-0.9755	
0.215	0.975917	0.000974942	-0.976892	
0.216	0.977268	0.000976292	-0.978244	
0.217	0.978581	0.000977603	-0.979559	
0.218	0.979855	0.000978876	-0.980834	
0.219	0.981091	0.00098011	-0.982071	
0.22	0.982287	0.000981306	-0.983269	
0.221	0.983445	0.000982463	-0.984428	
0.222	0.984564	0.000983581	-0.985548	
0.223	0.985645	0.00098466	-0.986629	
0.224	0.986686	0.0009857	-0.987672	
0.225	0.987688	0.000986702	-0.988675	
0.226	0.988652	0.000987664	-0.989639	
0.227	0.989576	0.000988588	-0.990565	
0.228	0.990461	0.000989472	-0.991451	
0.229	0.991308	0.000990317	-0.992298	
0.23	0.992115	0.000991124	-0.993106	
0.231	0.992883	0.000991891	-0.993874	
0.232	0.993611	0.000992619	-0.994604	
0.233	0.994301	0.000993307	-0.995294	
0.234	0.994951	0.000993957	-0.995945	
0.235	0.995562	0.000994567	-0.996557	
0.236	0.996134	0.000995138	-0.997129	
0.237	0.996666	0.00099567	-0.997662	
0.238	0.997159	0.000996163	-0.998155	
0.239	0.997613	0.000996616	-0.998609	
0.24	0.998027	0.00099703	-0.999024	
0.241	0.998402	0.000997404	-0.999399	
0.242	0.998737	0.000997739	-0.999735	
0.243	0.999033	0.000998035	-1.00003	
