t 1 2 jL0100 jV0200 
9.8e-05 4.31029 4.01044 0.299849 -0.299849
9.9e-05 4.33076 4.02689 0.303868 -0.303868
0.0001 4.35114 4.04324 0.307903 -0.307903
0.000101 4.37143 4.05947 0.311954 -0.311954
0.000102 4.39162 4.0756 0.316021 -0.316021
0.000103 4.41172 4.09161 0.320105 -0.320105
0.000104 4.43172 4.10752 0.324205 -0.324205
0.000105 4.45163 4.12331 0.32832 -0.32832
0.000106 4.47144 4.13899 0.332451 -0.332451
0.000107 4.49115 4.15455 0.336598 -0.336598
0.000108 4.51077 4.17001 0.34076 -0.34076
0.000109 4.53028 4.18534 0.344938 -0.344938
0.00011 4.5497 4.20057 0.349131 -0.349131
0.000111 4.56901 4.21567 0.353339 -0.353339
0.000112 4.58822 4.23066 0.357562 -0.357562
0.000113 4.60733 4.24553 0.3618 -0.3618
0.000114 4.62634 4.26029 0.366053 -0.366053
0.000115 4.64525 4.27493 0.370321 -0.370321
0.000116 4.66405 4.28944 0.374603 -0.374603
0.000117 4.68274 4.30384 0.3789 -0.3789
0.000118 4.70133 4.31812 0.383211 -0.383211
0.000119 4.71981 4.33228 0.387536 -0.387536
0.00012 4.73819 4.34631 0.391875 -0.391875
0.000121 4.75646 4.36023 0.396228 -0.396228
0.000122 4.77461 4.37402 0.400596 -0.400596
0.000123 4.79266 4.38769 0.404976 -0.404976
0.000124 4.8106 4.40123 0.409371 -0.409371
0.000125 4.82843 4.41465 0.413779 -0.413779
0.000126 4.84614 4.42794 0.4182 -0.4182
0.000127 4.86375 4.44111 0.422635 -0.422635
0.000128 4.88124 4.45415 0.427082 -0.427082
0.000129 4.89861 4.46707 0.431543 -0.431543
0.00013 4.91587 4.47986 0.436016 -0.436016
0.000131 4.93302 4.49252 0.440502 -0.440502
0.000132 4.95005 4.50505 0.445001 -0.445001
0.000133 4.96697 4.51745 0.449513 -0.449513
0.000134 4.98376 4.52973 0.454036 -0.454036
0.000135 5.00044 4.54187 0.458572 -0.458572
0.000136 5.01701 4.55389 0.46312 -0.46312
0.000137 5.03345 4.56577 0.46768 -0.46768
0.000138 5.04977 4.57752 0.472251 -0.472251
0.000139 5.06597 4.58914 0.476835 -0.476835
0.00014 5.08205 4.60062 0.481429 -0.481429
0.000141 5.09801 4.61198 0.486036 -0.486036
0.000142 5.11385 4.6232 0.490653 -0.490653
0.000143 5.12956 4.63428 0.495282 -0.495282
0.000144 5.14515 4.64523 0.499922 -0.499922
0.000145 5.16062 4.65605 0.504572 -0.504572
0.000146 5.17596 4.66673 0.509234 -0.509234
0.000147 5.19118 4.67727 0.513906 -0.513906
0.000148 5.20627 4.68768 0.518588 -0.518588
0.000149 5.22123 4.69795 0.523281 -0.523281
0.00015 5.23607 4.70808 0.527984 -0.527984
0.000151 5.25078 4.71808 0.532697 -0.532697
0.000152 5.26536 4.72794 0.53742 -0.53742
0.000153 5.27981 4.73766 0.542153 -0.542153
0.000154 5.29413 4.74723 0.546896 -0.546896
0.000155 5.30832 4.75667 0.551647 -0.551647
0.000156 5.32238 4.76597 0.556409 -0.556409
0.000157 5.33631 4.77513 0.561179 -0.561179
0.000158 5.35011 4.78415 0.565959 -0.565959
0.000159 5.36378 4.79303 0.570748 -0.570748
0.00016 5.37731 4.80177 0.575545 -0.575545
0.000161 5.39071 4.81036 0.580351 -0.580351
0.000162 5.40398 4.81881 0.585166 -0.585166
0.000163 5.41711 4.82712 0.589989 -0.589989
0.000164 5.43011 4.83529 0.59482 -0.59482
0.000165 5.44297 4.84331 0.599659 -0.599659
0.000166 5.45569 4.85119 0.604506 -0.604506
0.000167 5.46828 4.85892 0.609361 -0.609361
0.000168 5.48074 4.86651 0.614224 -0.614224
0.000169 5.49305 4.87396 0.619094 -0.619094
0.00017 5.50523 4.88125 0.623972 -0.623972
0.000171 5.51727 4.88841 0.628857 -0.628857
0.000172 5.52916 4.89542 0.633749 -0.633749
0.000173 5.54093 4.90228 0.638648 -0.638648
0.000174 5.55255 4.90899 0.643553 -0.643553
0.000175 5.56403 4.91556 0.648465 -0.648465
0.000176 5.57537 4.92198 0.653384 -0.653384
0.000177 5.58656 4.92825 0.658309 -0.658309
0.000178 5.59762 4.93438 0.663241 -0.663241
0.000179 5.60854 4.94036 0.668178 -0.668178
0.00018 5.61931 4.94619 0.673121 -0.673121
0.000181 5.62994 4.95187 0.67807 -0.67807
0.000182 5.64042 4.9574 0.683025 -0.683025
0.000183 5.65077 4.96278 0.687985 -0.687985
0.000184 5.66096 4.96801 0.69295 -0.69295
0.000185 5.67102 4.9731 0.697921 -0.697921
0.000186 5.68093 4.97803 0.702897 -0.702897
0.000187 5.69069 4.98281 0.707877 -0.707877
0.000188 5.70031 4.98745 0.712862 -0.712862
0.000189 5.70978 4.99193 0.717852 -0.717852
0.00019 5.71911 4.99626 0.722846 -0.722846
0.000191 5.72828 5.00044 0.727844 -0.727844
0.000192 5.73732 5.00447 0.732847 -0.732847
0.000193 5.7462 5.00835 0.737853 -0.737853
0.000194 5.75494 5.01207 0.742863 -0.742863
0.000195 5.76352 5.01565 0.747877 -0.747877
0.000196 5.77196 5.01907 0.752895 -0.752895
0.000197 5.78025 5.02234 0.757915 -0.757915
0.000198 5.78839 5.02545 0.762939 -0.762939
0.000199 5.79638 5.02842 0.767966 -0.767966
0.0002 5.80423 5.03123 0.772996 -0.772996
0.000201 5.81192 5.03389 0.778028 -0.778028
0.000202 5.81946 5.03639 0.783064 -0.783064
0.000203 5.82685 5.03875 0.788101 -0.788101
0.000204 5.83409 5.04095 0.793141 -0.793141
0.000205 5.84117 5.04299 0.798183 -0.798183
0.000206 5.84811 5.04488 0.803227 -0.803227
0.000207 5.85489 5.04662 0.808273 -0.808273
0.000208 5.86153 5.04821 0.81332 -0.81332
0.000209 5.86801 5.04964 0.818369 -0.818369
0.00021 5.87433 5.05091 0.823419 -0.823419
0.000211 5.88051 5.05204 0.828471 -0.828471
0.000212 5.88653 5.053 0.833523 -0.833523
0.000213 5.89239 5.05382 0.838577 -0.838577
0.000214 5.89811 5.05448 0.843631 -0.843631
0.000215 5.90367 5.05498 0.848686 -0.848686
0.000216 5.90907 5.05533 0.853741 -0.853741
0.000217 5.91432 5.05553 0.858796 -0.858796
0.000218 5.91942 5.05557 0.863852 -0.863852
0.000219 5.92436 5.05545 0.868907 -0.868907
0.00022 5.92915 5.05519 0.873963 -0.873963
0.000221 5.93378 5.05476 0.879018 -0.879018
0.000222 5.93826 5.05419 0.884072 -0.884072
0.000223 5.94258 5.05345 0.889126 -0.889126
0.000224 5.94674 5.05256 0.894179 -0.894179
0.000225 5.95075 5.05152 0.899231 -0.899231
0.000226 5.95461 5.05033 0.904282 -0.904282
0.000227 5.9583 5.04897 0.909331 -0.909331
0.000228 5.96185 5.04747 0.91438 -0.91438
0.000229 5.96523 5.0458 0.919426 -0.919426
0.00023 5.96846 5.04399 0.924471 -0.924471
0.000231 5.97153 5.04202 0.929514 -0.929514
0.000232 5.97445 5.03989 0.934555 -0.934555
0.000233 5.9772 5.03761 0.939594 -0.939594
0.000234 5.9798 5.03517 0.94463 -0.94463
0.000235 5.98225 5.03258 0.949664 -0.949664
0.000236 5.98453 5.02984 0.954695 -0.954695
0.000237 5.98666 5.02694 0.959724 -0.959724
0.000238 5.98864 5.02389 0.964749 -0.964749
0.000239 5.99045 5.02068 0.969771 -0.969771
0.00024 5.99211 5.01732 0.97479 -0.97479
0.000241 5.99361 5.0138 0.979806 -0.979806
0.000242 5.99495 5.01013 0.984818 -0.984818
0.000243 5.99613 5.00631 0.989826 -0.989826
0.000244 5.99716 5.00233 0.994831 -0.994831
0.000245 5.99803 4.9982 0.999831 -0.999831
0.000246 5.99874 4.99391 1.00483 -1.00483
0.000247 5.99929 4.98947 1.00982 -1.00982
0.000248 5.99968 4.98488 1.01481 -1.01481
0.000249 5.99992 4.98013 1.01979 -1.01979
0.00025 6 4.97523 1.02477 -1.02477
0.000251 5.99992 4.97018 1.02974 -1.02974
0.000252 5.99968 4.96498 1.03471 -1.03471
0.000253 5.99929 4.95962 1.03967 -1.03967
0.000254 5.99874 4.95411 1.04463 -1.04463
0.000255 5.99803 4.94845 1.04958 -1.04958
0.000256 5.99716 4.94264 1.05452 -1.05452
0.000257 5.99613 4.93667 1.05946 -1.05946
0.000258 5.99495 4.93055 1.0644 -1.0644
0.000259 5.99361 4.92428 1.06932 -1.06932
0.00026 5.99211 4.91786 1.07424 -1.07424
0.000261 5.99045 4.91129 1.07916 -1.07916
0.000262 5.98864 4.90457 1.08407 -1.08407
0.000263 5.98666 4.8977 1.08897 -1.08897
0.000264 5.98453 4.89067 1.09386 -1.09386
0.000265 5.98225 4.8835 1.09875 -1.09875
0.000266 5.9798 4.87618 1.10363 -1.10363
0.000267 5.9772 4.8687 1.1085 -1.1085
0.000268 5.97445 4.86108 1.11337 -1.11337
0.000269 5.97153 4.85331 1.11822 -1.11822
0.00027 5.96846 4.84539 1.12307 -1.12307
0.000271 5.96523 4.83732 1.12791 -1.12791
0.000272 5.96185 4.8291 1.13275 -1.13275
0.000273 5.9583 4.82073 1.13757 -1.13757
0.000274 5.95461 4.81222 1.14239 -1.14239
0.000275 5.95075 4.80356 1.1472 -1.1472
0.000276 5.94674 4.79475 1.152 -1.152
0.000277 5.94258 4.78579 1.15679 -1.15679
0.000278 5.93826 4.77669 1.16157 -1.16157
0.000279 5.93378 4.76744 1.16634 -1.16634
0.00028 5.92915 4.75805 1.1711 -1.1711
0.000281 5.92436 4.74851 1.17586 -1.17586
0.000282 5.91942 4.73882 1.1806 -1.1806
0.000283 5.91432 4.72899 1.18533 -1.18533
0.000284 5.90907 4.71902 1.19006 -1.19006
0.000285 5.90367 4.7089 1.19477 -1.19477
0.000286 5.89811 4.69863 1.19947 -1.19947
0.000287 5.89239 4.68823 1.20417 -1.20417
0.000288 5.88653 4.67768 1.20885 -1.20885
0.000289 5.88051 4.66698 1.21352 -1.21352
0.00029 5.87433 4.65615 1.21818 -1.21818
0.000291 5.86801 4.64517 1.22284 -1.22284
0.000292 5.86153 4.63405 1.22747 -1.22747
0.000293 5.85489 4.62279 1.2321 -1.2321
0.000294 5.84811 4.61139 1.23672 -1.23672
0.000295 5.84117 4.59985 1.24133 -1.24133
0.000296 5.83409 4.58817 1.24592 -1.24592
0.000297 5.82685 4.57635 1.2505 -1.2505
0.000298 5.81946 4.56439 1.25507 -1.25507
0.000299 5.81192 4.55229 1.25963 -1.25963
0.0003 5.80423 4.54005 1.26418 -1.26418
0.000301 5.79638 4.52767 1.26871 -1.26871
0.000302 5.78839 4.51516 1.27323 -1.27323
0.000303 5.78025 4.50251 1.27774 -1.27774
