t 1 2 jL0100 jV0200 
0.002494 2.15076 -0.359528 2.51029 -2.51029
0.002495 2.12564 -0.384273 2.50992 -2.50992
0.002496 2.10052 -0.408999 2.50952 -2.50952
0.002497 2.07539 -0.433705 2.5091 -2.5091
0.002498 2.05026 -0.458388 2.50865 -2.50865
0.002499 2.02513 -0.483049 2.50818 -2.50818
0.0025 2 -0.507686 2.50769 -2.50769
0.002501 1.97487 -0.532299 2.50717 -2.50717
0.002502 1.94974 -0.556886 2.50662 -2.50662
0.002503 1.92461 -0.581446 2.50605 -2.50605
0.002504 1.89948 -0.605979 2.50546 -2.50546
0.002505 1.87436 -0.630484 2.50484 -2.50484
0.002506 1.84924 -0.654959 2.5042 -2.5042
0.002507 1.82413 -0.679403 2.50353 -2.50353
0.002508 1.79902 -0.703816 2.50284 -2.50284
0.002509 1.77393 -0.728197 2.50212 -2.50212
0.00251 1.74884 -0.752545 2.50138 -2.50138
0.002511 1.72376 -0.776858 2.50062 -2.50062
0.002512 1.69869 -0.801136 2.49983 -2.49983
0.002513 1.67364 -0.825378 2.49902 -2.49902
0.002514 1.6486 -0.849583 2.49818 -2.49818
0.002515 1.62357 -0.87375 2.49732 -2.49732
0.002516 1.59855 -0.897878 2.49643 -2.49643
0.002517 1.57356 -0.921965 2.49552 -2.49552
0.002518 1.54857 -0.946012 2.49459 -2.49459
0.002519 1.52361 -0.970017 2.49363 -2.49363
0.00252 1.49867 -0.99398 2.49265 -2.49265
0.002521 1.47374 -1.0179 2.49164 -2.49164
0.002522 1.44884 -1.04177 2.49061 -2.49061
0.002523 1.42396 -1.0656 2.48956 -2.48956
0.002524 1.3991 -1.08938 2.48848 -2.48848
0.002525 1.37426 -1.11312 2.48738 -2.48738
0.002526 1.34945 -1.1368 2.48625 -2.48625
0.002527 1.32467 -1.16044 2.48511 -2.48511
0.002528 1.29991 -1.18403 2.48393 -2.48393
0.002529 1.27518 -1.20756 2.48274 -2.48274
0.00253 1.25047 -1.23104 2.48152 -2.48152
0.002531 1.2258 -1.25447 2.48027 -2.48027
0.002532 1.20116 -1.27785 2.47901 -2.47901
0.002533 1.17655 -1.30117 2.47772 -2.47772
0.002534 1.15197 -1.32443 2.47641 -2.47641
0.002535 1.12743 -1.34764 2.47507 -2.47507
0.002536 1.10292 -1.37079 2.47371 -2.47371
0.002537 1.07844 -1.39389 2.47233 -2.47233
0.002538 1.054 -1.41692 2.47092 -2.47092
0.002539 1.0296 -1.43989 2.4695 -2.4695
0.00254 1.00524 -1.4628 2.46804 -2.46804
0.002541 0.980917 -1.48565 2.46657 -2.46657
0.002542 0.956634 -1.50844 2.46507 -2.46507
0.002543 0.932392 -1.53116 2.46355 -2.46355
0.002544 0.908192 -1.55382 2.46201 -2.46201
0.002545 0.884036 -1.57641 2.46045 -2.46045
0.002546 0.859923 -1.59893 2.45886 -2.45886
0.002547 0.835855 -1.62139 2.45725 -2.45725
0.002548 0.811834 -1.64378 2.45561 -2.45561
0.002549 0.787859 -1.6661 2.45396 -2.45396
0.00255 0.763932 -1.68835 2.45228 -2.45228
0.002551 0.740054 -1.71053 2.45058 -2.45058
0.002552 0.716226 -1.73264 2.44886 -2.44886
0.002553 0.692448 -1.75467 2.44712 -2.44712
0.002554 0.668722 -1.77663 2.44535 -2.44535
0.002555 0.645048 -1.79852 2.44356 -2.44356
0.002556 0.621428 -1.82033 2.44176 -2.44176
0.002557 0.597863 -1.84206 2.43992 -2.43992
0.002558 0.574352 -1.86372 2.43807 -2.43807
0.002559 0.550899 -1.8853 2.4362 -2.4362
0.00256 0.527502 -1.9068 2.4343 -2.4343
0.002561 0.504163 -1.92822 2.43238 -2.43238
0.002562 0.480884 -1.94956 2.43044 -2.43044
0.002563 0.457664 -1.97082 2.42848 -2.42848
0.002564 0.434505 -1.992 2.4265 -2.4265
0.002565 0.411408 -2.01309 2.4245 -2.4245
0.002566 0.388374 -2.0341 2.42248 -2.42248
0.002567 0.365404 -2.05503 2.42043 -2.42043
0.002568 0.342498 -2.07587 2.41837 -2.41837
0.002569 0.319657 -2.09662 2.41628 -2.41628
0.00257 0.296883 -2.11729 2.41417 -2.41417
0.002571 0.274176 -2.13787 2.41205 -2.41205
0.002572 0.251537 -2.15836 2.4099 -2.4099
0.002573 0.228967 -2.17876 2.40773 -2.40773
0.002574 0.206467 -2.19907 2.40554 -2.40554
0.002575 0.184038 -2.21929 2.40333 -2.40333
0.002576 0.161681 -2.23942 2.4011 -2.4011
0.002577 0.139396 -2.25946 2.39885 -2.39885
0.002578 0.117184 -2.2794 2.39658 -2.39658
0.002579 0.0950472 -2.29925 2.39429 -2.39429
0.00258 0.0729853 -2.319 2.39198 -2.39198
0.002581 0.0509995 -2.33866 2.38966 -2.38966
0.002582 0.0290906 -2.35822 2.38731 -2.38731
0.002583 0.00725957 -2.37768 2.38494 -2.38494
0.002584 -0.0144928 -2.39704 2.38255 -2.38255
0.002585 -0.0361657 -2.41631 2.38014 -2.38014
0.002586 -0.0577581 -2.43548 2.37772 -2.37772
0.002587 -0.0792694 -2.45454 2.37527 -2.37527
0.002588 -0.100699 -2.47351 2.37281 -2.37281
0.002589 -0.122045 -2.49237 2.37033 -2.37033
0.00259 -0.143307 -2.51113 2.36783 -2.36783
0.002591 -0.164485 -2.52979 2.3653 -2.3653
0.002592 -0.185577 -2.54834 2.36277 -2.36277
0.002593 -0.206583 -2.56679 2.36021 -2.36021
0.002594 -0.227502 -2.58513 2.35763 -2.35763
0.002595 -0.248334 -2.60337 2.35504 -2.35504
0.002596 -0.269076 -2.6215 2.35243 -2.35243
0.002597 -0.289729 -2.63952 2.3498 -2.3498
0.002598 -0.310291 -2.65744 2.34715 -2.34715
0.002599 -0.330762 -2.67524 2.34448 -2.34448
0.0026 -0.351141 -2.69294 2.3418 -2.3418
0.002601 -0.371427 -2.71052 2.33909 -2.33909
0.002602 -0.39162 -2.728 2.33638 -2.33638
0.002603 -0.411718 -2.74536 2.33364 -2.33364
0.002604 -0.431721 -2.76261 2.33088 -2.33088
0.002605 -0.451628 -2.77974 2.32811 -2.32811
0.002606 -0.471438 -2.79676 2.32533 -2.32533
0.002607 -0.491151 -2.81367 2.32252 -2.32252
0.002608 -0.510765 -2.83046 2.3197 -2.3197
0.002609 -0.530281 -2.84714 2.31686 -2.31686
0.00261 -0.549696 -2.8637 2.314 -2.314
0.002611 -0.569011 -2.88014 2.31113 -2.31113
0.002612 -0.588224 -2.89647 2.30824 -2.30824
0.002613 -0.607335 -2.91267 2.30534 -2.30534
0.002614 -0.626343 -2.92876 2.30242 -2.30242
0.002615 -0.645247 -2.94473 2.29948 -2.29948
0.002616 -0.664047 -2.96058 2.29653 -2.29653
0.002617 -0.682742 -2.9763 2.29356 -2.29356
0.002618 -0.701331 -2.99191 2.29058 -2.29058
0.002619 -0.719814 -3.00739 2.28758 -2.28758
0.00262 -0.738188 -3.02275 2.28456 -2.28456
0.002621 -0.756455 -3.03799 2.28153 -2.28153
0.002622 -0.774613 -3.0531 2.27849 -2.27849
0.002623 -0.792662 -3.06809 2.27542 -2.27542
0.002624 -0.8106 -3.08295 2.27235 -2.27235
0.002625 -0.828427 -3.09769 2.26926 -2.26926
0.002626 -0.846143 -3.1123 2.26615 -2.26615
0.002627 -0.863746 -3.12678 2.26303 -2.26303
0.002628 -0.881236 -3.14114 2.2599 -2.2599
0.002629 -0.898613 -3.15536 2.25675 -2.25675
0.00263 -0.915875 -3.16946 2.25359 -2.25359
0.002631 -0.933021 -3.18343 2.25041 -2.25041
0.002632 -0.950052 -3.19728 2.24722 -2.24722
0.002633 -0.966967 -3.21099 2.24402 -2.24402
0.002634 -0.983765 -3.22457 2.2408 -2.2408
0.002635 -1.00044 -3.23801 2.23757 -2.23757
0.002636 -1.01701 -3.25133 2.23433 -2.23433
0.002637 -1.03345 -3.26451 2.23107 -2.23107
0.002638 -1.04977 -3.27757 2.2278 -2.2278
0.002639 -1.06597 -3.29048 2.22451 -2.22451
0.00264 -1.08205 -3.30327 2.22122 -2.22122
0.002641 -1.09801 -3.31592 2.21791 -2.21791
0.002642 -1.11385 -3.32843 2.21458 -2.21458
0.002643 -1.12956 -3.34081 2.21125 -2.21125
0.002644 -1.14515 -3.35306 2.2079 -2.2079
0.002645 -1.16062 -3.36516 2.20454 -2.20454
0.002646 -1.17596 -3.37713 2.20117 -2.20117
0.002647 -1.19118 -3.38897 2.19779 -2.19779
0.002648 -1.20627 -3.40066 2.19439 -2.19439
0.002649 -1.22123 -3.41222 2.19099 -2.19099
0.00265 -1.23607 -3.42364 2.18757 -2.18757
0.002651 -1.25078 -3.43492 2.18414 -2.18414
0.002652 -1.26536 -3.44606 2.1807 -2.1807
0.002653 -1.27981 -3.45706 2.17725 -2.17725
0.002654 -1.29413 -3.46792 2.17379 -2.17379
0.002655 -1.30832 -3.47863 2.17031 -2.17031
0.002656 -1.32238 -3.48921 2.16683 -2.16683
0.002657 -1.33631 -3.49965 2.16333 -2.16333
0.002658 -1.35011 -3.50994 2.15983 -2.15983
0.002659 -1.36378 -3.52009 2.15631 -2.15631
0.00266 -1.37731 -3.5301 2.15279 -2.15279
0.002661 -1.39071 -3.53997 2.14925 -2.14925
0.002662 -1.40398 -3.54969 2.14571 -2.14571
0.002663 -1.41711 -3.55926 2.14215 -2.14215
0.002664 -1.43011 -3.5687 2.13859 -2.13859
0.002665 -1.44297 -3.57799 2.13502 -2.13502
0.002666 -1.45569 -3.58713 2.13143 -2.13143
0.002667 -1.46828 -3.59613 2.12784 -2.12784
0.002668 -1.48074 -3.60498 2.12424 -2.12424
0.002669 -1.49305 -3.61368 2.12063 -2.12063
0.00267 -1.50523 -3.62224 2.11702 -2.11702
0.002671 -1.51727 -3.63065 2.11339 -2.11339
0.002672 -1.52916 -3.63892 2.10975 -2.10975
0.002673 -1.54093 -3.64704 2.10611 -2.10611
0.002674 -1.55255 -3.65501 2.10246 -2.10246
0.002675 -1.56403 -3.66283 2.0988 -2.0988
0.002676 -1.57537 -3.6705 2.09513 -2.09513
0.002677 -1.58656 -3.67802 2.09146 -2.09146
0.002678 -1.59762 -3.6854 2.08778 -2.08778
0.002679 -1.60854 -3.69263 2.08409 -2.08409
0.00268 -1.61931 -3.6997 2.08039 -2.08039
0.002681 -1.62994 -3.70663 2.07669 -2.07669
0.002682 -1.64042 -3.7134 2.07298 -2.07298
0.002683 -1.65077 -3.72003 2.06926 -2.06926
0.002684 -1.66096 -3.72651 2.06554 -2.06554
0.002685 -1.67102 -3.73283 2.06181 -2.06181
0.002686 -1.68093 -3.739 2.05807 -2.05807
0.002687 -1.69069 -3.74502 2.05433 -2.05433
0.002688 -1.70031 -3.75089 2.05058 -2.05058
0.002689 -1.70978 -3.75661 2.04683 -2.04683
0.00269 -1.71911 -3.76218 2.04307 -2.04307
0.002691 -1.72828 -3.76759 2.03931 -2.03931
0.002692 -1.73732 -3.77285 2.03554 -2.03554
0.002693 -1.7462 -3.77796 2.03176 -2.03176
0.002694 -1.75494 -3.78292 2.02798 -2.02798
0.002695 -1.76352 -3.78772 2.0242 -2.0242
0.002696 -1.77196 -3.79237 2.02041 -2.02041
0.002697 -1.78025 -3.79686 2.01661 -2.01661
0.002698 -1.78839 -3.8012 2.01281 -2.01281
0.002699 -1.79638 -3.80539 2.00901 -2.00901
0.0027 -1.80423 -3.80943 2.0052 -2.0052
0.002701 -1.81192 -3.81331 2.00139 -2.00139
0.002702 -1.81946 -3.81703 1.99757 -1.99757
0.002703 -1.82685 -3.8206 1.99376 -1.99376
0.002704 -1.83409 -3.82402 1.98993 -1.98993
0.002705 -1.84117 -3.82728 1.98611 -1.98611
0.002706 -1.84811 -3.83039 1.98228 -1.98228
0.002707 -1.85489 -3.83334 1.97845 -1.97845
0.002708 -1.86153 -3.83614 1.97461 -1.97461
0.002709 -1.86801 -3.83878 1.97077 -1.97077
0.00271 -1.87433 -3.84127 1.96693 -1.96693
0.002711 -1.88051 -3.8436 1.96309 -1.96309
0.002712 -1.88653 -3.84577 1.95925 -1.95925
0.002713 -1.89239 -3.84779 1.9554 -1.9554
0.002714 -1.89811 -3.84966 1.95155 -1.95155
0.002715 -1.90367 -3.85137 1.9477 -1.9477
0.002716 -1.90907 -3.85292 1.94385 -1.94385
0.002717 -1.91432 -3.85432 1.94 -1.94
0.002718 -1.91942 -3.85556 1.93614 -1.93614
0.002719 -1.92436 -3.85665 1.93228 -1.93228
0.00272 -1.92915 -3.85758 1.92843 -1.92843
0.002721 -1.93378 -3.85835 1.92457 -1.92457
0.002722 -1.93826 -3.85897 1.92071 -1.92071
0.002723 -1.94258 -3.85943 1.91685 -1.91685
0.002724 -1.94674 -3.85974 1.91299 -1.91299
0.002725 -1.95075 -3.85989 1.90913 -1.90913
0.002726 -1.95461 -3.85988 1.90527 -1.90527
0.002727 -1.9583 -3.85972 1.90141 -1.90141
0.002728 -1.96185 -3.8594 1.89755 -1.89755
0.002729 -1.96523 -3.85892 1.89369 -1.89369
0.00273 -1.96846 -3.85829 1.88984 -1.88984
0.002731 -1.97153 -3.85751 1.88598 -1.88598
0.002732 -1.97445 -3.85657 1.88212 -1.88212
0.002733 -1.9772 -3.85547 1.87826 -1.87826
0.002734 -1.9798 -3.85421 1.87441 -1.87441
0.002735 -1.98225 -3.8528 1.87056 -1.87056
0.002736 -1.98453 -3.85124 1.8667 -1.8667
0.002737 -1.98666 -3.84952 1.86285 -1.86285
0.002738 -1.98864 -3.84764 1.85901 -1.85901
0.002739 -1.99045 -3.84561 1.85516 -1.85516
0.00274 -1.99211 -3.84342 1.85131 -1.85131
0.002741 -1.99361 -3.84108 1.84747 -1.84747
0.002742 -1.99495 -3.83858 1.84363 -1.84363
0.002743 -1.99613 -3.83593 1.83979 -1.83979
0.002744 -1.99716 -3.83312 1.83596 -1.83596
0.002745 -1.99803 -3.83015 1.83213 -1.83213
0.002746 -1.99874 -3.82704 1.8283 -1.8283
0.002747 -1.99929 -3.82376 1.82447 -1.82447
0.002748 -1.99968 -3.82034 1.82065 -1.82065
0.002749 -1.99992 -3.81675 1.81683 -1.81683
0.00275 -2 -3.81302 1.81302 -1.81302
0.002751 -1.99992 -3.80913 1.80921 -1.80921
0.002752 -1.99968 -3.80509 1.8054 -1.8054
0.002753 -1.99929 -3.80089 1.8016 -1.8016
0.002754 -1.99874 -3.79654 1.7978 -1.7978
0.002755 -1.99803 -3.79203 1.794 -1.794
0.002756 -1.99716 -3.78737 1.79022 -1.79022
0.002757 -1.99613 -3.78256 1.78643 -1.78643
0.002758 -1.99495 -3.7776 1.78265 -1.78265
0.002759 -1.99361 -3.77248 1.77888 -1.77888
0.00276 -1.99211 -3.76721 1.77511 -1.77511
0.002761 -1.99045 -3.76179 1.77134 -1.77134
0.002762 -1.98864 -3.75622 1.76758 -1.76758
0.002763 -1.98666 -3.75049 1.76383 -1.76383
0.002764 -1.98453 -3.74462 1.76008 -1.76008
0.002765 -1.98225 -3.73859 1.75634 -1.75634
0.002766 -1.9798 -3.73241 1.7526 -1.7526
0.002767 -1.9772 -3.72608 1.74887 -1.74887
0.002768 -1.97445 -3.7196 1.74515 -1.74515
0.002769 -1.97153 -3.71297 1.74144 -1.74144
0.00277 -1.96846 -3.70618 1.73773 -1.73773
0.002771 -1.96523 -3.69925 1.73402 -1.73402
0.002772 -1.96185 -3.69217 1.73033 -1.73033
0.002773 -1.9583 -3.68494 1.72664 -1.72664
0.002774 -1.95461 -3.67756 1.72296 -1.72296
0.002775 -1.95075 -3.67004 1.71928 -1.71928
0.002776 -1.94674 -3.66236 1.71562 -1.71562
0.002777 -1.94258 -3.65454 1.71196 -1.71196
0.002778 -1.93826 -3.64657 1.70831 -1.70831
0.002779 -1.93378 -3.63845 1.70467 -1.70467
0.00278 -1.92915 -3.63018 1.70103 -1.70103
0.002781 -1.92436 -3.62177 1.69741 -1.69741
0.002782 -1.91942 -3.61321 1.69379 -1.69379
0.002783 -1.91432 -3.6045 1.69018 -1.69018
0.002784 -1.90907 -3.59565 1.68658 -1.68658
0.002785 -1.90367 -3.58666 1.68299 -1.68299
0.002786 -1.89811 -3.57751 1.67941 -1.67941
0.002787 -1.89239 -3.56823 1.67583 -1.67583
0.002788 -1.88653 -3.5588 1.67227 -1.67227
0.002789 -1.88051 -3.54922 1.66872 -1.66872
0.00279 -1.87433 -3.5395 1.66517 -1.66517
0.002791 -1.86801 -3.52964 1.66164 -1.66164
0.002792 -1.86153 -3.51964 1.65811 -1.65811
0.002793 -1.85489 -3.50949 1.6546 -1.6546
0.002794 -1.84811 -3.4992 1.65109 -1.65109
0.002795 -1.84117 -3.48877 1.6476 -1.6476
0.002796 -1.83409 -3.4782 1.64412 -1.64412
0.002797 -1.82685 -3.46749 1.64064 -1.64064
0.002798 -1.81946 -3.45664 1.63718 -1.63718
0.002799 -1.81192 -3.44565 1.63373 -1.63373
0.0028 -1.80423 -3.43452 1.63029 -1.63029
0.002801 -1.79638 -3.42325 1.62686 -1.62686
0.002802 -1.78839 -3.41184 1.62344 -1.62344
0.002803 -1.78025 -3.40029 1.62004 -1.62004
0.002804 -1.77196 -3.3886 1.61664 -1.61664
0.002805 -1.76352 -3.37678 1.61326 -1.61326
0.002806 -1.75494 -3.36482 1.60989 -1.60989
0.002807 -1.7462 -3.35273 1.60653 -1.60653
0.002808 -1.73732 -3.3405 1.60318 -1.60318
0.002809 -1.72828 -3.32813 1.59985 -1.59985
0.00281 -1.71911 -3.31563 1.59653 -1.59653
0.002811 -1.70978 -3.303 1.59322 -1.59322
0.002812 -1.70031 -3.29023 1.58992 -1.58992
0.002813 -1.69069 -3.27733 1.58664 -1.58664
0.002814 -1.68093 -3.26429 1.58337 -1.58337
0.002815 -1.67102 -3.25113 1.58011 -1.58011
0.002816 -1.66096 -3.23783 1.57686 -1.57686
0.002817 -1.65077 -3.2244 1.57363 -1.57363
0.002818 -1.64042 -3.21084 1.57042 -1.57042
0.002819 -1.62994 -3.19715 1.56721 -1.56721
0.00282 -1.61931 -3.18333 1.56402 -1.56402
0.002821 -1.60854 -3.16938 1.56085 -1.56085
0.002822 -1.59762 -3.1553 1.55768 -1.55768
0.002823 -1.58656 -3.1411 1.55453 -1.55453
0.002824 -1.57537 -3.12677 1.5514 -1.5514
0.002825 -1.56403 -3.11231 1.54828 -1.54828
0.002826 -1.55255 -3.09772 1.54518 -1.54518
0.002827 -1.54093 -3.08301 1.54209 -1.54209
0.002828 -1.52916 -3.06818 1.53901 -1.53901
0.002829 -1.51727 -3.05322 1.53595 -1.53595
0.00283 -1.50523 -3.03813 1.5329 -1.5329
0.002831 -1.49305 -3.02292 1.52987 -1.52987
0.002832 -1.48074 -3.00759 1.52686 -1.52686
0.002833 -1.46828 -2.99214 1.52386 -1.52386
0.002834 -1.45569 -2.97657 1.52087 -1.52087
0.002835 -1.44297 -2.96087 1.51791 -1.51791
0.002836 -1.43011 -2.94506 1.51495 -1.51495
0.002837 -1.41711 -2.92913 1.51202 -1.51202
0.002838 -1.40398 -2.91307 1.50909 -1.50909
0.002839 -1.39071 -2.8969 1.50619 -1.50619
0.00284 -1.37731 -2.88061 1.5033 -1.5033
0.002841 -1.36378 -2.86421 1.50043 -1.50043
0.002842 -1.35011 -2.84768 1.49757 -1.49757
0.002843 -1.33631 -2.83105 1.49473 -1.49473
0.002844 -1.32238 -2.81429 1.49191 -1.49191
0.002845 -1.30832 -2.79743 1.4891 -1.4891
0.002846 -1.29413 -2.78045 1.48632 -1.48632
0.002847 -1.27981 -2.76335 1.48354 -1.48354
0.002848 -1.26536 -2.74615 1.48079 -1.48079
0.002849 -1.25078 -2.72883 1.47805 -1.47805
0.00285 -1.23607 -2.7114 1.47533 -1.47533
0.002851 -1.22123 -2.69386 1.47263 -1.47263
0.002852 -1.20627 -2.67621 1.46994 -1.46994
0.002853 -1.19118 -2.65845 1.46728 -1.46728
0.002854 -1.17596 -2.64059 1.46463 -1.46463
0.002855 -1.16062 -2.62262 1.46199 -1.46199
0.002856 -1.14515 -2.60454 1.45938 -1.45938
0.002857 -1.12956 -2.58635 1.45679 -1.45679
0.002858 -1.11385 -2.56806 1.45421 -1.45421
0.002859 -1.09801 -2.54966 1.45165 -1.45165
0.00286 -1.08205 -2.53116 1.44911 -1.44911
0.002861 -1.06597 -2.51256 1.44659 -1.44659
0.002862 -1.04977 -2.49385 1.44408 -1.44408
0.002863 -1.03345 -2.47505 1.4416 -1.4416
0.002864 -1.01701 -2.45614 1.43913 -1.43913
0.002865 -1.00044 -2.43713 1.43669 -1.43669
0.002866 -0.983765 -2.41802 1.43426 -1.43426
0.002867 -0.966967 -2.39882 1.43185 -1.43185
0.002868 -0.950052 -2.37952 1.42946 -1.42946
0.002869 -0.933021 -2.36011 1.42709 -1.42709
0.00287 -0.915875 -2.34062 1.42474 -1.42474
0.002871 -0.898613 -2.32102 1.42241 -1.42241
0.002872 -0.881236 -2.30134 1.4201 -1.4201
0.002873 -0.863746 -2.28155 1.41781 -1.41781
0.002874 -0.846143 -2.26168 1.41554 -1.41554
0.002875 -0.828427 -2.24171 1.41329 -1.41329
0.002876 -0.8106 -2.22165 1.41105 -1.41105
0.002877 -0.792662 -2.2015 1.40884 -1.40884
0.002878 -0.774613 -2.18126 1.40665 -1.40665
0.002879 -0.756455 -2.16094 1.40448 -1.40448
0.00288 -0.738188 -2.14052 1.40233 -1.40233
0.002881 -0.719814 -2.12001 1.4002 -1.4002
0.002882 -0.701331 -2.09942 1.39809 -1.39809
0.002883 -0.682742 -2.07874 1.396 -1.396
0.002884 -0.664047 -2.05798 1.39393 -1.39393
0.002885 -0.645247 -2.03713 1.39188 -1.39188
0.002886 -0.626343 -2.0162 1.38986 -1.38986
0.002887 -0.607335 -1.99519 1.38785 -1.38785
0.002888 -0.588224 -1.97409 1.38587 -1.38587
0.002889 -0.569011 -1.95291 1.3839 -1.3839
0.00289 -0.549696 -1.93166 1.38196 -1.38196
0.002891 -0.530281 -1.91032 1.38004 -1.38004
0.002892 -0.510765 -1.88891 1.37814 -1.37814
0.002893 -0.491151 -1.86741 1.37626 -1.37626
0.002894 -0.471438 -1.84584 1.37441 -1.37441
0.002895 -0.451628 -1.8242 1.37257 -1.37257
0.002896 -0.431721 -1.80248 1.37076 -1.37076
0.002897 -0.411718 -1.78068 1.36897 -1.36897
0.002898 -0.39162 -1.75882 1.3672 -1.3672
0.002899 -0.371427 -1.73688 1.36545 -1.36545
0.0029 -0.351141 -1.71486 1.36372 -1.36372
0.002901 -0.330762 -1.69278 1.36202 -1.36202
0.002902 -0.310291 -1.67063 1.36034 -1.36034
0.002903 -0.289728 -1.64841 1.35868 -1.35868
0.002904 -0.269076 -1.62612 1.35704 -1.35704
0.002905 -0.248334 -1.60376 1.35543 -1.35543
0.002906 -0.227502 -1.58134 1.35383 -1.35383
0.002907 -0.206583 -1.55885 1.35226 -1.35226
0.002908 -0.185577 -1.53629 1.35072 -1.35072
0.002909 -0.164485 -1.51368 1.34919 -1.34919
0.00291 -0.143307 -1.491 1.34769 -1.34769
0.002911 -0.122045 -1.46825 1.34621 -1.34621
0.002912 -0.100699 -1.44545 1.34475 -1.34475
0.002913 -0.0792694 -1.42259 1.34332 -1.34332
0.002914 -0.0577581 -1.39966 1.34191 -1.34191
0.002915 -0.0361657 -1.37668 1.34052 -1.34052
0.002916 -0.0144928 -1.35365 1.33915 -1.33915
0.002917 0.00725959 -1.33055 1.33781 -1.33781
0.002918 0.0290906 -1.3074 1.33649 -1.33649
0.002919 0.0509995 -1.2842 1.3352 -1.3352
0.00292 0.0729853 -1.26094 1.33392 -1.33392
0.002921 0.0950472 -1.23763 1.33267 -1.33267
0.002922 0.117184 -1.21426 1.33145 -1.33145
0.002923 0.139396 -1.19085 1.33025 -1.33025
0.002924 0.161681 -1.16739 1.32907 -1.32907
0.002925 0.184038 -1.14387 1.32791 -1.32791
0.002926 0.206467 -1.12031 1.32678 -1.32678
0.002927 0.228967 -1.0967 1.32567 -1.32567
0.002928 0.251537 -1.07305 1.32459 -1.32459
0.002929 0.274176 -1.04935 1.32352 -1.32352
0.00293 0.296883 -1.0256 1.32249 -1.32249
0.002931 0.319657 -1.00182 1.32147 -1.32147
0.002932 0.342498 -0.977985 1.32048 -1.32048
0.002933 0.365404 -0.954113 1.31952 -1.31952
0.002934 0.388374 -0.930201 1.31857 -1.31857
0.002935 0.411408 -0.906248 1.31766 -1.31766
0.002936 0.434505 -0.882257 1.31676 -1.31676
0.002937 0.457664 -0.858228 1.31589 -1.31589
0.002938 0.480884 -0.834162 1.31505 -1.31505
0.002939 0.504163 -0.810061 1.31422 -1.31422
0.00294 0.527502 -0.785924 1.31343 -1.31343
0.002941 0.550899 -0.761754 1.31265 -1.31265
0.002942 0.574352 -0.73755 1.3119 -1.3119
0.002943 0.597863 -0.713314 1.31118 -1.31118
0.002944 0.621428 -0.689047 1.31048 -1.31048
0.002945 0.645048 -0.664751 1.3098 -1.3098
0.002946 0.668722 -0.640424 1.30915 -1.30915
0.002947 0.692448 -0.61607 1.30852 -1.30852
0.002948 0.716226 -0.591689 1.30791 -1.30791
0.002949 0.740054 -0.567281 1.30733 -1.30733
0.00295 0.763932 -0.542848 1.30678 -1.30678
0.002951 0.787859 -0.51839 1.30625 -1.30625
0.002952 0.811834 -0.493909 1.30574 -1.30574
0.002953 0.835855 -0.469406 1.30526 -1.30526
0.002954 0.859923 -0.444881 1.3048 -1.3048
0.002955 0.884036 -0.420336 1.30437 -1.30437
0.002956 0.908192 -0.395771 1.30396 -1.30396
0.002957 0.932392 -0.371188 1.30358 -1.30358
0.002958 0.956634 -0.346587 1.30322 -1.30322
0.002959 0.980917 -0.32197 1.30289 -1.30289
0.00296 1.00524 -0.297337 1.30258 -1.30258
0.002961 1.0296 -0.272689 1.30229 -1.30229
0.002962 1.054 -0.248028 1.30203 -1.30203
0.002963 1.07844 -0.223354 1.3018 -1.3018
0.002964 1.10292 -0.198668 1.30159 -1.30159
0.002965 1.12743 -0.173972 1.3014 -1.3014
0.002966 1.15197 -0.149266 1.30124 -1.30124
0.002967 1.17655 -0.124551 1.3011 -1.3011
0.002968 1.20116 -0.0998279 1.30099 -1.30099
0.002969 1.2258 -0.0750984 1.3009 -1.3009
0.00297 1.25047 -0.0503631 1.30084 -1.30084
0.002971 1.27518 -0.0256229 1.3008 -1.3008
0.002972 1.29991 -0.000878803 1.30079 -1.30079
0.002973 1.32467 0.0238682 1.3008 -1.3008
0.002974 1.34945 0.048617 1.30083 -1.30083
0.002975 1.37426 0.0733668 1.3009 -1.3009
0.002976 1.3991 0.0981166 1.30098 -1.30098
0.002977 1.42396 0.122865 1.30109 -1.30109
0.002978 1.44884 0.147612 1.30123 -1.30123
0.002979 1.47374 0.172356 1.30139 -1.30139
0.00298 1.49867 0.197096 1.30157 -1.30157
0.002981 1.52361 0.22183 1.30178 -1.30178
0.002982 1.54857 0.246559 1.30202 -1.30202
0.002983 1.57356 0.271281 1.30227 -1.30227
0.002984 1.59855 0.295995 1.30256 -1.30256
0.002985 1.62357 0.320701 1.30287 -1.30287
0.002986 1.6486 0.345396 1.3032 -1.3032
0.002987 1.67364 0.370081 1.30356 -1.30356
0.002988 1.69869 0.394754 1.30394 -1.30394
0.002989 1.72376 0.419414 1.30435 -1.30435
0.00299 1.74884 0.44406 1.30478 -1.30478
0.002991 1.77393 0.468691 1.30523 -1.30523
0.002992 1.79902 0.493307 1.30572 -1.30572
0.002993 1.82413 0.517906 1.30622 -1.30622
0.002994 1.84924 0.542488 1.30675 -1.30675
0.002995 1.87436 0.567051 1.30731 -1.30731
0.002996 1.89948 0.591594 1.30789 -1.30789
0.002997 1.92461 0.616117 1.30849 -1.30849
0.002998 1.94974 0.640618 1.30912 -1.30912
0.002999 1.97487 0.665097 1.30977 -1.30977
