t	1	2	3	jO0200	jV0300	
0.0034	0.00123948	0.00247896	0.00123948	-2.47896e-06	1.23948e-06	
0.00345	0.00125506	0.00251013	0.00125506	-2.51013e-06	1.25506e-06	
0.0035	0.00127065	0.00254129	0.00127065	-2.54129e-06	1.27065e-06	
0.00355	0.00128623	0.00257245	0.00128623	-2.57245e-06	1.28623e-06	
0.0036	0.0013018	0.0026036	0.0013018	-2.6036e-06	1.3018e-06	
0.00365	0.00131737	0.00263475	0.00131737	-2.63475e-06	1.31737e-06	
0.0037	0.00133294	0.00266589	0.00133294	-2.66589e-06	1.33294e-06	
0.00375	0.00134851	0.00269702	0.00134851	-2.69702e-06	1.34851e-06	
0.0038	0.00136407	0.00272814	0.00136407	-2.72814e-06	1.36407e-06	
0.00385	0.00137963	0.00275926	0.00137963	-2.75926e-06	1.37963e-06	
0.0039	0.00139519	0.00279038	0.00139519	-2.79038e-06	1.39519e-06	
0.00395	0.00141074	0.00282148	0.00141074	-2.82148e-06	1.41074e-06	
0.004	0.00142629	0.00285258	0.00142629	-2.85258e-06	1.42629e-06	
0.00405	0.00144183	0.00288367	0.00144183	-2.88367e-06	1.44183e-06	
0.0041	0.00145738	0.00291475	0.00145738	-2.91475e-06	1.45738e-06	
0.00415	0.00147292	0.00294583	0.00147292	-2.94583e-06	1.47292e-06	
0.0042	0.00148845	0.0029769	0.00148845	-2.9769e-06	1.48845e-06	
0.00425	0.00150398	0.00300796	0.00150398	-3.00796e-06	1.50398e-06	
0.0043	0.00151951	0.00303902	0.00151951	-3.03902e-06	1.51951e-06	
0.00435	0.00153503	0.00307007	0.00153503	-3.07007e-06	1.53503e-06	
0.0044	0.00155055	0.0031011	0.00155055	-3.1011e-06	1.55055e-06	
0.00445	0.00156607	0.00313214	0.00156607	-3.13214e-06	1.56607e-06	
0.0045	0.00158158	0.00316316	0.00158158	-3.16316e-06	1.58158e-06	
0.00455	0.00159709	0.00319418	0.00159709	-3.19418e-06	1.59709e-06	
0.0046	0.00161259	0.00322519	0.00161259	-3.22519e-06	1.61259e-06	
0.00465	0.00162809	0.00325619	0.00162809	-3.25619e-06	1.62809e-06	
0.0047	0.00164359	0.00328718	0.00164359	-3.28718e-06	1.64359e-06	
0.00475	0.00165908	0.00331816	0.00165908	-3.31816e-06	1.65908e-06	
0.0048	0.00167457	0.00334914	0.00167457	-3.34914e-06	1.67457e-06	
