t	1	2	jL0100	jV0200	
0	2	2	2e-13	-2e-13	
1e-06	2.02513	2.02513	2.01257e-13	-2.01257e-13	
2e-06	2.05026	2.05026	2.0377e-13	-2.0377e-13	
3e-06	2.07539	2.07539	2.06283e-13	-2.06283e-13	
4e-06	2.10052	2.10052	2.08796e-13	-2.08796e-13	
5e-06	2.12564	2.12564	2.11308e-13	-2.11308e-13	
6e-06	2.15076	2.15076	2.1382e-13	-2.1382e-13	
7e-06	2.17587	2.17587	2.16332e-13	-2.16332e-13	
8e-06	2.20098	2.20098	2.18842e-13	-2.18842e-13	
9e-06	2.22607	2.22607	2.21353e-13	-2.21353e-13	
1e-05	2.25116	2.25116	2.23862e-13	-2.23862e-13	
1.1e-05	2.27624	2.27624	2.2637e-13	-2.2637e-13	
1.2e-05	2.30131	2.30131	2.28877e-13	-2.28877e-13	
1.3e-05	2.32636	2.32636	2.31383e-13	-2.31383e-13	
1.4e-05	2.3514	2.3514	2.33888e-13	-2.33888e-13	
1.5e-05	2.37643	2.37643	2.36392e-13	-2.36392e-13	
1.6e-05	2.40145	2.40145	2.38894e-13	-2.38894e-13	
1.7e-05	2.42644	2.42644	2.41395e-13	-2.41395e-13	
1.8e-05	2.45143	2.45143	2.43894e-13	-2.43894e-13	
1.9e-05	2.47639	2.47639	2.46391e-13	-2.46391e-13	
2e-05	2.50133	2.50133	2.48886e-13	-2.48886e-13	
2.1e-05	2.52626	2.52626	2.5138e-13	-2.5138e-13	
2.2e-05	2.55116	2.55116	2.53871e-13	-2.53871e-13	
2.3e-05	2.57604	2.57604	2.5636e-13	-2.5636e-13	
2.4e-05	2.6009	2.6009	2.58847e-13	-2.58847e-13	
2.5e-05	2.62574	2.62574	2.61332e-13	-2.61332e-13	
2.6e-05	2.65055	2.65055	2.63814e-13	-2.63814e-13	
2.7e-05	2.67533	2.67533	2.66294e-13	-2.66294e-13	
2.8e-05	2.70009	2.70009	2.68771e-13	-2.68771e-13	
2.9e-05	2.72482	2.72482	2.71246e-13	-2.71246e-13	
3e-05	2.74953	2.74953	2.73717e-13	-2.73717e-13	
3.1e-05	2.7742	2.7742	2.76186e-13	-2.76186e-13	
3.2e-05	2.79884	2.79884	2.78652e-13	-2.78652e-13	
3.3e-05	2.82345	2.82345	2.81115e-13	-2.81115e-13	
3.4e-05	2.84803	2.84803	2.83574e-13	-2.83574e-13	
3.5e-05	2.87257	2.87257	2.8603e-13	-2.8603e-13	
3.6e-05	2.89708	2.89708	2.88483e-13	-2.88483e-13	
3.7e-05	2.92156	2.92156	2.90932e-13	-2.90932e-13	
3.8e-05	2.946	2.946	2.93378e-13	-2.93378e-13	
3.9e-05	2.9704	2.9704	2.9582e-13	-2.9582e-13	
4e-05	2.99476	2.99476	2.98258e-13	-2.98258e-13	
4.1e-05	3.01908	3.01908	3.00692e-13	-3.00692e-13	
4.2e-05	3.04337	3.04337	3.03122e-13	-3.03122e-13	
4.3e-05	3.06761	3.06761	3.05549e-13	-3.05549e-13	
4.4e-05	3.09181	3.09181	3.07971e-13	-3.07971e-13	
4.5e-05	3.11596	3.11596	3.10389e-13	-3.10389e-13	
4.6e-05	3.14008	3.14008	3.12802e-13	-3.12802e-13	
4.7e-05	3.16414	3.16414	3.15211e-13	-3.15211e-13	
4.8e-05	3.18817	3.18817	3.17616e-13	-3.17616e-13	
4.9e-05	3.21214	3.21214	3.20015e-13	-3.20015e-13	
5e-05	3.23607	3.23607	3.2241e-13	-3.2241e-13	
5.1e-05	3.25995	3.25995	3.24801e-13	-3.24801e-13	
5.2e-05	3.28377	3.28377	3.27186e-13	-3.27186e-13	
5.3e-05	3.30755	3.30755	3.29566e-13	-3.29566e-13	
5.4e-05	3.33128	3.33128	3.31942e-13	-3.31942e-13	
5.5e-05	3.35495	3.35495	3.34311e-13	-3.34311e-13	
5.6e-05	3.37857	3.37857	3.36676e-13	-3.36676e-13	
5.7e-05	3.40214	3.40214	3.39035e-13	-3.39035e-13	
5.8e-05	3.42565	3.42565	3.41389e-13	-3.41389e-13	
5.9e-05	3.4491	3.4491	3.43737e-13	-3.43737e-13	
6e-05	3.4725	3.4725	3.4608e-13	-3.4608e-13	
6.1e-05	3.49584	3.49584	3.48417e-13	-3.48417e-13	
6.2e-05	3.51912	3.51912	3.50748e-13	-3.50748e-13	
6.3e-05	3.54234	3.54234	3.53073e-13	-3.53073e-13	
6.4e-05	3.56549	3.56549	3.55392e-13	-3.55392e-13	
6.5e-05	3.58859	3.58859	3.57704e-13	-3.57704e-13	
6.6e-05	3.61163	3.61163	3.60011e-13	-3.60011e-13	
6.7e-05	3.6346	3.6346	3.62311e-13	-3.62311e-13	
6.8e-05	3.6575	3.6575	3.64605e-13	-3.64605e-13	
6.9e-05	3.68034	3.68034	3.66892e-13	-3.66892e-13	
7e-05	3.70312	3.70312	3.69173e-13	-3.69173e-13	
7.1e-05	3.72582	3.72582	3.71447e-13	-3.71447e-13	
7.2e-05	3.74846	3.74846	3.73714e-13	-3.73714e-13	
7.3e-05	3.77103	3.77103	3.75975e-13	-3.75975e-13	
7.4e-05	3.79353	3.79353	3.78228e-13	-3.78228e-13	
7.5e-05	3.81596	3.81596	3.80475e-13	-3.80475e-13	
7.6e-05	3.83832	3.83832	3.82714e-13	-3.82714e-13	
7.7e-05	3.8606	3.8606	3.84946e-13	-3.84946e-13	
7.8e-05	3.88282	3.88282	3.87171e-13	-3.87171e-13	
7.9e-05	3.90495	3.90495	3.89388e-13	-3.89388e-13	
8e-05	3.92701	3.92701	3.91598e-13	-3.91598e-13	
8.1e-05	3.949	3.949	3.93801e-13	-3.93801e-13	
8.2e-05	3.97091	3.97091	3.95995e-13	-3.95995e-13	
8.3e-05	3.99274	3.99274	3.98182e-13	-3.98182e-13	
8.4e-05	4.01449	4.01449	4.00362e-13	-4.00362e-13	
8.5e-05	4.03617	4.03617	4.02533e-13	-4.02533e-13	
8.6e-05	4.05776	4.05776	4.04696e-13	-4.04696e-13	
8.7e-05	4.07927	4.07927	4.06851e-13	-4.06851e-13	
8.8e-05	4.1007	4.1007	4.08998e-13	-4.08998e-13	
8.9e-05	4.12204	4.12204	4.11137e-13	-4.11137e-13	
9e-05	4.14331	4.14331	4.13268e-13	-4.13268e-13	
9.1e-05	4.16449	4.16449	4.1539e-13	-4.1539e-13	
9.2e-05	4.18558	4.18558	4.17503e-13	-4.17503e-13	
9.3e-05	4.20658	4.20658	4.19608e-13	-4.19608e-13	
9.4e-05	4.2275	4.2275	4.21704e-13	-4.21704e-13	
9.5e-05	4.24833	4.24833	4.23792e-13	-4.23792e-13	
9.6e-05	4.26908	4.26908	4.2587e-13	-4.2587e-13	
9.7e-05	4.28973	4.28973	4.2794e-13	-4.2794e-13	
9.8e-05	4.31029	4.31029	4.30001e-13	-4.30001e-13	
9.9e-05	4.33076	4.33076	4.32053e-13	-4.32053e-13	
0.0001	4.35114	4.35114	4.34095e-13	-4.34095e-13	
0.000101	4.37143	4.37143	4.36128e-13	-4.36128e-13	
0.000102	4.39162	4.39162	4.38152e-13	-4.38152e-13	
0.000103	4.41172	4.41172	4.40167e-13	-4.40167e-13	
0.000104	4.43172	4.43172	4.42172e-13	-4.42172e-13	
0.000105	4.45163	4.45163	4.44167e-13	-4.44167e-13	
0.000106	4.47144	4.47144	4.46153e-13	-4.46153e-13	
0.000107	4.49115	4.49115	4.48129e-13	-4.48129e-13	
0.000108	4.51077	4.51077	4.50096e-13	-4.50096e-13	
0.000109	4.53028	4.53028	4.52052e-13	-4.52052e-13	
0.00011	4.5497	4.5497	4.53999e-13	-4.53999e-13	
0.000111	4.56901	4.56901	4.55935e-13	-4.55935e-13	
0.000112	4.58822	4.58822	4.57862e-13	-4.57862e-13	
0.000113	4.60733	4.60733	4.59778e-13	-4.59778e-13	
0.000114	4.62634	4.62634	4.61684e-13	-4.61684e-13	
0.000115	4.64525	4.64525	4.6358e-13	-4.6358e-13	
0.000116	4.66405	4.66405	4.65465e-13	-4.65465e-13	
0.000117	4.68274	4.68274	4.67339e-13	-4.67339e-13	
0.000118	4.70133	4.70133	4.69204e-13	-4.69204e-13	
0.000119	4.71981	4.71981	4.71057e-13	-4.71057e-13	
0.00012	4.73819	4.73819	4.729e-13	-4.729e-13	
0.000121	4.75646	4.75646	4.74732e-13	-4.74732e-13	
0.000122	4.77461	4.77461	4.76553e-13	-4.76553e-13	
0.000123	4.79266	4.79266	4.78364e-13	-4.78364e-13	
0.000124	4.8106	4.8106	4.80163e-13	-4.80163e-13	
0.000125	4.82843	4.82843	4.81951e-13	-4.81951e-13	
0.000126	4.84614	4.84614	4.83728e-13	-4.83728e-13	
0.000127	4.86375	4.86375	4.85494e-13	-4.85494e-13	
0.000128	4.88124	4.88124	4.87249e-13	-4.87249e-13	
0.000129	4.89861	4.89861	4.88992e-13	-4.88992e-13	
0.00013	4.91587	4.91587	4.90724e-13	-4.90724e-13	
0.000131	4.93302	4.93302	4.92445e-13	-4.92445e-13	
0.000132	4.95005	4.95005	4.94154e-13	-4.94154e-13	
0.000133	4.96697	4.96697	4.95851e-13	-4.95851e-13	
0.000134	4.98376	4.98376	4.97537e-13	-4.97537e-13	
0.000135	5.00044	5.00044	4.9921e-13	-4.9921e-13	
0.000136	5.01701	5.01701	5.00872e-13	-5.00872e-13	
0.000137	5.03345	5.03345	5.02523e-13	-5.02523e-13	
0.000138	5.04977	5.04977	5.04161e-13	-5.04161e-13	
0.000139	5.06597	5.06597	5.05787e-13	-5.05787e-13	
0.00014	5.08205	5.08205	5.07401e-13	-5.07401e-13	
0.000141	5.09801	5.09801	5.09003e-13	-5.09003e-13	
0.000142	5.11385	5.11385	5.10593e-13	-5.10593e-13	
0.000143	5.12956	5.12956	5.12171e-13	-5.12171e-13	
0.000144	5.14515	5.14515	5.13736e-13	-5.13736e-13	
0.000145	5.16062	5.16062	5.15289e-13	-5.15289e-13	
0.000146	5.17596	5.17596	5.16829e-13	-5.16829e-13	
0.000147	5.19118	5.19118	5.18357e-13	-5.18357e-13	
0.000148	5.20627	5.20627	5.19872e-13	-5.19872e-13	
0.000149	5.22123	5.22123	5.21375e-13	-5.21375e-13	
0.00015	5.23607	5.23607	5.22865e-13	-5.22865e-13	
